tick,total_population,total_births,total_deaths,alive_cells,mean_withdrawal_ratio,mean_behavioral_energy,mean_stress,expansion,stable,saturation,behavioral_sink,collapse,wd_smooth,pop_smooth,be_smooth
0,512,0,0,256,0.0,0.06591796875,0.0,256,0,0,0,0,,,
0,521,9,0,256,0.0,0.062744140625,0.0,256,0,0,0,0,,,
1,527,6,0,256,0.0,0.062255859375,0.0,256,0,0,0,0,,,
2,533,6,0,256,0.0,0.06005859375,0.0,256,0,0,0,0,,,
3,543,10,0,256,0.0,0.05732421875,0.0,256,0,0,0,0,,,
4,549,6,0,256,0.0,0.056591796875,0.0,256,0,0,0,0,0.005013020833333333,548.9,0.06069010416666667
5,561,12,0,256,0.0078125,0.0583984375,0.0,252,0,0,4,0,0.00693359375,558.5,0.060205078125
6,569,8,0,256,0.013020833333333332,0.06090494791666667,0.0,249,0,1,6,0,0.008834635416666665,568.8,0.05988118489583334
7,581,12,0,256,0.013997395833333332,0.06100260416666667,0.0,248,0,2,6,0,0.011158854166666666,580.0,0.059583333333333335
8,593,12,0,256,0.015299479166666664,0.06170247395833334,0.0,247,0,3,6,0,0.013678385416666666,592.0,0.05979654947916667
9,608,15,0,256,0.019205729166666664,0.061067708333333345,0.0,244,0,5,7,0,0.016178385416666666,604.3,0.060149414062499997
10,624,16,0,256,0.019010416666666665,0.05950520833333334,0.0,244,0,5,7,0,0.0190625,617.4,0.06075944010416667
11,639,15,0,256,0.023242187499999997,0.05927734375,0.0,241,1,6,8,0,0.021686197916666667,630.8,0.06128133788441549
12,653,14,0,256,0.025195312499999997,0.06219075520833334,0.0,239,0,9,8,0,0.023691406249999998,644.6,0.06172827798858216
13,666,13,0,256,0.025,0.06085286458333333,0.0,239,0,9,8,0,0.02597160218253968,658.8,0.06245701270116266
14,680,14,0,256,0.02884114583333333,0.06269205729166667,0.0,236,1,10,9,0,0.02836852058531746,673.1,0.06292918066991267
15,695,15,0,256,0.03404947916666667,0.06361741530248824,5.178821792377857e-05,232,2,12,10,0,0.030509672619047617,688.0,0.06370939985394045
16,707,12,0,256,0.03307291666666667,0.06537434895833333,1.805209742093381e-05,232,1,14,9,0,0.03268756200396825,703.7,0.06441344334768215
17,723,16,0,256,0.03679935515873016,0.06828995129247169,5.031264087600475e-06,227,5,14,10,0,0.034584418402777775,719.9,0.0652276407963336
18,736,13,0,256,0.03926866319444444,0.06642415364583333,0.0,225,7,13,11,0,0.036361297123015876,736.8,0.06563694496475855
19,757,21,0,256,0.04061724950396825,0.06886990017361111,0.0,224,6,15,11,0,0.038404341968795094,754.8,0.06592411886296677
20,781,24,0,256,0.04078931051587301,0.06654564327075056,4.5302704655876524e-05,222,8,15,11,0,0.0407127637987013,772.9,0.0662080877567243
21,801,20,0,256,0.042210751488095236,0.06741931823651437,0.00011530560674466533,220,9,16,11,0,0.04257585621843434,791.6,0.06666666518350664
22,822,21,0,256,0.04296409970238095,0.06628379689258282,0.0002854412381437577,220,9,16,11,0,0.044366248985389614,811.1,0.06715033838224951
23,846,24,0,256,0.045430448457792205,0.06372460356541554,0.00021721577940746125,217,10,18,11,0,0.04588135822510822,831.1,0.0672888873281212
24,861,15,0,256,0.051925364132395374,0.06553174622924189,0.00018703112031655212,213,12,18,13,0,0.0474388979076479,851.6,0.06784107450999571
25,882,21,0,256,0.05268040336399711,0.06820318957031175,0.0002015894687203916,212,11,20,13,0,0.04912991522366522,872.7,0.06791012182568193
26,902,20,0,256,0.05097684433621934,0.07021108094576209,0.00013817631936974227,211,13,19,13,0,0.050795369994588745,894.0,0.06826823762105419
27,923,21,0,256,0.0519504475559163,0.06967544075118859,9.170160944425944e-05,208,14,21,13,0,0.05238911153950217,916.8,0.06852664904127312
28,941,18,0,256,0.05484406001984127,0.07194602546457833,6.778376699057116e-05,206,18,19,13,0,0.05410163295905483,939.8,0.06896142982545665
29,968,27,0,256,0.05752742266414141,0.0695603733304733,5.1507725323904494e-05,205,18,19,14,0,0.056081997429653675,962.4,0.06993616563867286
