tick,population,active,withdrawn,dead_cumulative,births,deaths,mean_stress,mean_W,mean_density,max_cell_count,civilization_phase
1,20,20,0,0,0,0,0.0,0.5074323167090701,0.18504761904761902,2,expansion
2,20,20,0,0,0,0,0.0,0.5108897412055589,0.17592857142857138,2,expansion
3,20,20,0,0,0,0,0.0,0.5101701306775939,0.17266666666666663,2,expansion
4,20,20,0,0,0,0,0.0,0.5139415118668722,0.18764285714285708,2,expansion
5,20,20,0,0,0,0,0.0,0.5074542978748429,0.1628095238095238,3,expansion
6,20,20,0,0,0,0,0.0,0.5078782693479441,0.1757380952380952,2,expansion
7,20,20,0,0,0,0,0.0,0.5159864236326801,0.19669047619047614,2,expansion
8,20,20,0,0,0,0,0.0,0.5197521341465933,0.1934285714285714,2,expansion
9,20,20,0,0,0,0,0.0,0.5060611862351923,0.18549999999999994,2,expansion
10,20,20,0,0,0,0,0.0,0.5015060916840551,0.18033333333333335,3,expansion
11,20,20,0,0,0,0,0.0,0.5238943895130589,0.19347619047619044,2,expansion
12,20,20,0,0,0,0,0.0,0.5206155362946061,0.18030952380952378,2,expansion
13,20,20,0,0,0,0,0.0,0.5095941951108,0.16276190476190475,3,expansion
14,20,20,0,0,0,0,0.0,0.5107873370498615,0.17961904761904762,2,expansion
15,20,20,0,0,0,0,0.0,0.5093570083294522,0.18304761904761904,2,expansion
16,20,20,0,0,0,0,0.0,0.5231026350180307,0.1925952380952381,2,expansion
17,20,20,0,0,0,0,0.0,0.5129820867807605,0.16857142857142854,2,expansion
18,20,20,0,0,0,0,0.0,0.5109174132018355,0.1972380952380952,2,expansion
19,20,20,0,0,0,0,0.0,0.5247901064157039,0.17797619047619043,2,expansion
20,20,20,0,0,0,0,0.0,0.5245263609293488,0.17528571428571424,2,expansion
21,20,20,0,0,0,0,0.0,0.5099465629332707,0.1630952380952381,3,expansion
22,20,20,0,0,0,0,0.0,0.5165272643170582,0.16478571428571429,3,expansion
23,20,20,0,0,0,0,0.0,0.5157985850806944,0.1822619047619047,2,expansion
24,20,20,0,0,0,0,0.0,0.5165913966412967,0.20690476190476187,1,expansion
25,20,20,0,0,0,0,0.0,0.5118570723838184,0.20978571428571424,1,expansion
26,20,20,0,0,0,0,0.0,0.5152086309047359,0.18885714285714286,2,expansion
27,20,19,1,0,0,0,0.0,0.5081527072562039,0.17045238095238094,2,expansion
28,20,19,1,0,0,0,0.0,0.516440299688742,0.1801190476190476,2,expansion
29,20,19,1,0,0,0,0.0,0.5141114685826224,0.17666666666666664,2,expansion
30,20,19,1,0,0,0,0.0,0.5174150669009832,0.18407142857142855,2,expansion
31,20,19,1,0,0,0,0.0,0.5139907970333548,0.17478571428571427,2,expansion
32,20,19,1,0,0,0,0.0,0.5108084806992111,0.18773809523809526,2,expansion
33,20,19,1,0,0,0,0.0,0.5119858924964826,0.1712142857142857,2,expansion
34,20,19,1,0,0,0,0.0,0.5154141878184156,0.18416666666666665,2,expansion
35,20,19,1,0,0,0,0.0,0.5181096672710996,0.17676190476190473,2,expansion
